full_label_raw,base_label,base_label_en,modifiers_ko,modifiers_en,axis
예술과 상품의 경계 질문,예술과 상품의 경계 질문,Questioning the Boundaries of Art and Commodity,,,Epistemic Function
역사적 성찰,역사적 성찰,Historical Reflection,,,Epistemic Function
교육적,교육적,educational,,,Epistemic Function
미래제안& 사변적 디자인,미래제안& 사변적 디자인,Future proposal & speculative design,,,Epistemic Function
철학적 질문,철학적 질문,philosophical questions,,,Epistemic Function
자원정치,자원정치,Resource politics,,,Epistemic Function
시민 과학 프로젝트,시민 과학 프로젝트,citizen science projects,,,Epistemic Function
유전적 감시 비판,유전적 감시 비판,Criticism of genetic surveillance,,,Epistemic Function
자연,자연,nature,,,Epistemic Function
인공질문,인공질문,artificial questions,,,Epistemic Function
과학적 객관성의 허구성 폭로,과학적 객관성의 허구성 폭로,Exposing the Fiction of Scientific Objectivity,,,Epistemic Function
역사 재해석,역사 재해석,Reinterpretation of history,,,Epistemic Function
정체성 탐구,정체성 탐구,Identity Exploration,,,Epistemic Function
향기-기억-감정의연결성을가시화,향기-기억-감정의 연결성을 가시화,"Visualizing the connection between scent, memory, and emotion",,,Epistemic Function
디지털대생물학적기록방식에대한질문,디지털 대생물학적 기록 방식에 대한 질문,Questions about digital biometric recording methods,,,Epistemic Function
친밀함이 데이 터로 번역되는 방식 제시,친밀함이 데이터로 번역되는 방식 제시,Presenting how intimacy translates into data,,,Epistemic Function
미래가족의형태에대한질문,미래 가족의 형태에 대한 질문,Questions about the future form of the family,,,Epistemic Function
세포농업개념을구체화,세포 농업 개념을 구체화,Embodying the concept of cellular agriculture,,,Epistemic Function
식품의기원에대한본능적대면을강요,식품의 기원에 대한 본능적 대면을 강요,Forces an instinctive confrontation with the origins of food,,,Epistemic Function
인지과정을외부화,인지과정을 외부화,Externalizing cognitive processes,,,Epistemic Function
물질화,물질화,Materialization,,,Epistemic Function
생각의 물질적 기반 증명,생각의 물질적 기반 증명,Proof of the material basis of thought,,,Epistemic Function
비-시각적감각의힘과정서적연결성을강조,비-시각적 감각의 힘과 정서적 연결성을 강조,Emphasizes the power and emotional connection of non-visual senses,,,Epistemic Function
사변적 시나리오 제시,사변적 시나리오 제시,Presenting a speculative scenario,,,Epistemic Function
보이지 않는 것의 가시화,보이지 않는 것의 가시화,Visualizing the Invisible,,,Epistemic Function
은유적 표현,은유적 표현,metaphorical expression,,,Epistemic Function
데이터의 물질화,데이터의 물질화,Materialization of data,,,Epistemic Function
증거제시,증거제시,Presentation of evidence,,,Epistemic Function
과학적 사실의 시적 번역,과학적 사실의 시적 번역,Poetic translation of scientific facts,,,Epistemic Function
관계망의 시각화,관계망의 시각화,Visualization of the network,,,Epistemic Function
장소 특정적 지식 생산,장소 특정적 지식 생산,Place-specific knowledge production,,,Epistemic Function
문화보존,문화보존,Cultural preservation,,,Epistemic Function
항생제 내성 문제 공론화,항생제 내성 문제 공론화,Publicizing the issue of antibiotic resistance,,,Epistemic Function
젠더 이분법의 해체,젠더 이분법의 해체,Deconstructing the gender binary,,,Epistemic Function
관찰적,관찰적,Observational,,,Epistemic Function
감각적(비시각),감각적,Sensual,비시각,non-visual,Epistemic Function
해석적 참여,해석적 참여,interpretive engagement,,,Epistemic Function
담론적,담론적,discursive,,,Epistemic Function
관조적,관조적,contemplative,,,Epistemic Function
과정추적,과정추적,Process tracking,,,Epistemic Function
탈인간 중심주의,탈인간 중심주의,post-anthropocentrism,,,Philosophical Stance
생태 여성주의,생태 여성주의,ecofeminism,,,Philosophical Stance
관계적 존재론,관계적 존재론,relational ontology,,,Philosophical Stance
신유물론,신유물론,New Materialism,,,Philosophical Stance
생명 중심주의,생명 중심주의,Biocentrism,,,Philosophical Stance
심층 생태학,심층 생태학,Deep Ecology,,,Philosophical Stance
포스트휴머니즘,포스트휴머니즘,Posthumanism,,,Philosophical Stance
트랜스휴머니즘,트랜스휴머니즘,transhumanism,,,Philosophical Stance
사이보그 이론,사이보그 이론,Cyborg theory,,,Philosophical Stance
인간 중심주의 비판,인간 중심주의 비판,Criticism of anthropocentrism,,,Philosophical Stance
종차별주의 비판,종차별주의 비판,Criticism of speciesism,,,Philosophical Stance
생명권,생명권,right to life,,,Philosophical Stance
인간 중심주의,인간 중심주의,anthropocentrism,,,Philosophical Stance
소비주의 비판,소비주의 비판,Criticism of Consumerism,,,Philosophical Stance
기술 유토피아니즘,기술 유토피아니즘,Technological utopianism,,,Philosophical Stance
생태 중심주의,생태 중심주의,ecocentrism,,,Philosophical Stance
객체 지향 존재론,객체 지향 존재론,Object-oriented ontology,,,Philosophical Stance
기술 결정론 비판,기술 결정론 비판,Criticism of technological determinism,,,Philosophical Stance
퀴어이론,퀴어이론,Queer theory,,,Philosophical Stance
기술 결정론,기술 결정론,technological determinism,,,Philosophical Stance
포스트휴먼 윤리,포스트휴먼 윤리,Posthuman ethics,,,Philosophical Stance
소비문화 비판,소비문화 비판,Criticism of consumer culture,,,Philosophical Stance
탈식민주의,탈식민주의,decolonialism,,,Philosophical Stance
반자본주의,반자본주의,anti-capitalism,,,Philosophical Stance
결정론 비판,결정론 비판,Criticism of determinism,,,Philosophical Stance
심신이원론 비판,심신이원론 비판,Criticism of mind-body dualism,,,Philosophical Stance
사회구성주의,사회구성주의,social constructivism,,,Philosophical Stance
애니미즘,애니미즘,animism,,,Philosophical Stance
정신-신체이원론에도전,정신-신체 이원론에 도전,Challenging mind-body dualism,,,Philosophical Stance
기억에대한포스트휴먼적관점,기억에 대한 포스트휴먼적 관점,A Posthuman Perspective on Memory,,,Philosophical Stance
유전자 결정론 비판,유전자 결정론 비판,Criticism of genetic determinism,,,Philosophical Stance
데이터화된자아탐구,데이터화된 자아 탐구,Exploring the Datafied Self,,,Philosophical Stance
주체-객체,주체-객체,Subject-Object,,,Philosophical Stance
소비자-생산물의 경계를 허물기,소비자-생산물의 경계를 허물기,Breaking down the barriers between consumers and products,,,Philosophical Stance
인간신체의신성성에대한질문,인간 신체의 신성성에 대한 질문,The question of the sacredness of the human body,,,Philosophical Stance
정신-신체이원론비판,정신-신체 이원론 비판,Criticism of mind-body dualism,,,Philosophical Stance
의식에대한유물론적관점,의식에 대한 유물론적 관점,A materialist view of consciousness,,,Philosophical Stance
현상학(체험중심),현상학,phenomenology,체험중심,Experience-centered,Philosophical Stance
시각중심 주의비판,시각중심 주의비판,Critique of ocularcentrism,,,Philosophical Stance
인류세 비판,인류세 비판,Criticism of the Anthropocene,,,Philosophical Stance
장소 특정적 실천,장소 특정적 실천,site-specific practices,,,Philosophical Stance
장소 특정성,장소 특정성,site specificity,,,Philosophical Stance
과정적,과정적,Processual,,,Philosophical Stance
진화적,진화적,evolutionary,,,Philosophical Stance
정지된,정지된,Stopped,,,Philosophical Stance
재구성된,재구성된,Reconstructed,,,Philosophical Stance
미래적,미래적,futuristic,,,Philosophical Stance
가상적,가상적,virtual,,,Philosophical Stance
성장적,성장적,Growth,,,Philosophical Stance
치유적,치유적,Healing,,,Philosophical Stance
실험실,실험실,laboratory,,,Social Context
과학 연구소,과학 연구소,Science Research Institute,,,Social Context
공공장소(우주),공공장소,public places,우주,universe,Social Context
미술관,미술관,art gallery,,,Social Context
자연환경,자연환경,natural environment,,,Social Context
사설 스튜디오,사설 스튜디오,private studio,,,Social Context
갤러리,갤러리,Gallery,,,Social Context
공공장소,공공장소,public places,,,Social Context
실험실(클리닉),실험실,laboratory,클리닉,Clinic,Social Context
온라인 플랫폼,온라인 플랫폼,online platform,,,Social Context
미술관(부재),미술관,art gallery,부재,absence,Social Context
미디어 공간,미디어 공간,media space,,,Social Context
퍼포먼스 공간,퍼포먼스 공간,Performance space,,,Social Context
비엔날레,비엔날레,Biennale,,,Social Context
도시공간,도시공간,urban space,,,Social Context
농장,농장,farm,,,Social Context
박물관,박물관,museum,,,Social Context
과학관,과학관,Science Museum,,,Social Context
디자인 페어,디자인 페어,Design Fair,,,Social Context
산업 박람회,산업 박람회,Industrial fair,,,Social Context
연구소,연구소,Research Institute,,,Social Context
커뮤니티 센터,커뮤니티 센터,community center,,,Social Context
웹기반프로젝트,웹 기반 프로젝트,Web-based projects,,,Social Context
출판물,출판물,publication,,,Social Context
공공장소(샘플수집),공공장소,public places,샘플수집,Sample collection,Social Context
미술관(온실설치),미술관,art gallery,온실설치,Greenhouse installation,Social Context
비엔날레(대규모 커미션),비엔날레,Biennale,대규모 커미션,large commissions,Social Context
디지털 소외,디지털 소외,digital exclusion,,,Social Context
진정성에 대한 갈망,진정성에 대한 갈망,Longing for authenticity,,,Social Context
새로운애도방식의탐구,새로운 애도 방식의 탐구,Exploring New Ways of Mourning,,,Social Context
소비자 직접유전학의부상,소비자 직접 유전학의 부상,The Rise of Direct-to-Consumer Genetics,,,Social Context
발전하는생식기술,발전하는 생식 기술,evolving reproductive technologies,,,Social Context
지속가능한식량,지속 가능한 식량,Sustainable food,,,Social Context
동물복지,동물 복지,animal welfare,,,Social Context
식품의미래에대한사회적논쟁,식품의 미래에 대한 사회적 논쟁,Social Debate on the Future of Food,,,Social Context
신경과학,신경과학,neuroscience,,,Social Context
인공지능,인공지능,artificial intelligence,,,Social Context
뇌-컴퓨터인터페이스기술의발전,뇌-컴퓨터 인터페이스 기술의 발전,Advances in brain-computer interface technology,,,Social Context
경험경제,경험 경제,experience economy,,,Social Context
디지털시대의아날로그적경험추구,디지털 시대의 아날로그적 경험 추구,Pursuing analog experiences in the digital age,,,Social Context
커뮤니티,커뮤니티,Community,,,Social Context
건축적,건축적,Architectural,,,Social Context
생태계적,생태계적,Ecological,,,Social Context
인체적(초상),인체적,human body,초상,portrait,Social Context
행성적,행성적,planetary,,,Social Context
인체적(부분),인체적,human body,부분,part,Social Context
해석적 참여,해석적 참여,interpretive engagement,,,Audience Engagement
관찰적,관찰적,Observational,,,Audience Engagement
상호작용적,상호작용적,interactive,,,Audience Engagement
관조적,관조적,contemplative,,,Audience Engagement
수동적 관람,수동적 관람,passive viewing,,,Audience Engagement
상호작용적(미래),상호작용적,interactive,미래,future,Audience Engagement
담론적 참여,담론적 참여,discursive engagement,,,Audience Engagement
해석적 참여(의식참관),해석적 참여,interpretive engagement,의식참관,Observing the ceremony,Audience Engagement
참여적,참여적,Participatory,,,Audience Engagement
참여적(시식),참여적,Participatory,시식,tasting,Audience Engagement
원격관찰,원격관찰,remote observation,,,Audience Engagement
데이터 제공,데이터 제공,Data provision,,,Audience Engagement
관찰적(퍼포먼스),관찰적,Observational,퍼포먼스,performance,Audience Engagement
공동 창작적,공동 창작적,co-creative,,,Audience Engagement
워크숍,워크숍,Workshop,,,Audience Engagement
DIY 키트제공,DIY 키트제공,DIY kit provided,,,Audience Engagement
시민 과학 프로젝트,시민 과학 프로젝트,citizen science projects,,,Audience Engagement
다중 감각적 경험,다중감각적 경험,multisensory experience,,,Audience Engagement
상호작용적(신체센싱),상호작용적,interactive,신체센싱,body sensing,Audience Engagement
참여적(DIY 키트제공),참여적,Participatory,DIY 키트제공,DIY kit provided,Audience Engagement
참여적(워크숍),참여적,Participatory,워크숍,Workshop,Audience Engagement
감각적 참여,감각적 참여,sensory engagement,,,Audience Engagement
데이터 제공(소변),데이터 제공,Data provision,소변,urine,Audience Engagement
후각적 경험,후각적 경험,olfactory experience,,,Audience Engagement
사물에대한명상,사물에 대한 명상,Meditation on Things,,,Audience Engagement
서사적이해,서사적 이해,narrative understanding,,,Audience Engagement
아카이브자료의관람,아카이브 자료의 관람,Viewing archive materials,,,Audience Engagement
담론적참여유도,담론적 참여 유도,Encouraging discursive participation,,,Audience Engagement
관찰과 담론적 해석,관찰과 담론적 해석,Observation and discursive interpretation,,,Audience Engagement
본능적,본능적,instinctive,,,Audience Engagement
감정적반응유발,감정적 반응 유발,Eliciting emotional responses,,,Audience Engagement
상호작용을통한능동적참여,상호작용을 통한 능동적 참여,Active participation through interaction,,,Audience Engagement
감각적피드백루프(시청각),감각적 피드백 루프,sensory feedback loop,시청각,audiovisual,Audience Engagement
비자발적,비자발적,Involuntary,,,Audience Engagement
생리적,생리적,Physiological,,,Audience Engagement
감성적몰입,감성적몰입,emotional immersion,,,Audience Engagement
시스템적,시스템적,Systematic,,,Audience Engagement
자율적,자율적,autonomous,,,Audience Engagement
우연적 발견,우연적 발견,accidental discovery,,,Audience Engagement
충격과 성찰 유도,충격과 성찰 유도,Inducing shock and reflection,,,Audience Engagement
담론형성,담론형성,Discourse formation,,,Audience Engagement
참여적(기증),참여적,Participatory,기증,endowment,Audience Engagement
장소 특정적 경험,장소 특정적 경험,place-specific experiences,,,Audience Engagement
해석적,해석적,Interpretive,,,Audience Engagement
담론적,담론적,discursive,,,Audience Engagement
정체성 정치,정체성 정치,identity politics,,,Audience Engagement
젠더와 인종,젠더와 인종,Gender and Race,,,Audience Engagement
전염과 오염,전염과 오염,Contagion and contamination,,,Audience Engagement
감시사회,감시 사회,surveillance society,,,Audience Engagement
유전적 프라이버시,유전적 프라이버시,Genetic Privacy,,,Audience Engagement
법의학적 권력,법의학적 권력,forensic power,,,Audience Engagement
합성생물학,합성생물학,synthetic biology,,,Audience Engagement
탈멸종,탈멸종,De-extinction,,,Audience Engagement
생물다양성 보존,생물다양성 보존,Biodiversity conservation,,,Audience Engagement
재생의료,재생의료,regenerative medicine,,,Audience Engagement
신체강화,신체강화,Body strengthening,,,Audience Engagement
생명의 정의,생명의 정의,Definition of life,,,Audience Engagement
진화적,진화적,evolutionary,,,Temporal Scale
세대간,세대간,intergenerational,,,Temporal Scale
순간적,순간적,momentary,,,Temporal Scale
일시적,일시적,temporary,,,Temporal Scale
지속적,지속적,continuous,,,Temporal Scale
장기 프로젝트,장기 프로젝트,long-term project,,,Temporal Scale
단기전시,단기 전시,short-term exhibition,,,Temporal Scale
진행중,진행중,in progress,,,Temporal Scale
실시간,실시간,Real-time,,,Temporal Scale
소멸,소멸,extinction,,,Temporal Scale
성장적,성장적,Growth,,,Temporal Scale
과정적,과정적,Processual,,,Temporal Scale
장기적,장기적,long-term,,,Temporal Scale
반복수행,반복수행,Repeated execution,,,Temporal Scale
역사적 시간성,역사적 시간성,historical temporality,,,Temporal Scale
변화와 성장,변화와 성장,Change and growth,,,Temporal Scale
단기전시(반복),단기 전시,short-term exhibition,반복,repeat,Temporal Scale
단기전시(영상),단기 전시,short-term exhibition,영상,video,Temporal Scale
과정기반,과정기반,Process-based,,,Temporal Scale
퍼포먼스적,퍼포먼스적,performative,,,Temporal Scale
과거의순간을포착하여미래를위해보존,과거의 순간을 포착하여 미래를 위해 보존,Capturing moments from the past and preserving them for the future,,,Temporal Scale
식물의생애주기,식물의 생애 주기,Plant life cycle,,,Temporal Scale
현재의친밀한순간을미래세대를위해기록,현재의 친밀한 순간을 미래 세대를 위해 기록,Recording intimate moments of the present for future generations,,,Temporal Scale
가까운미래의시나리오를현재로소환,가까운 미래의 시나리오를 현재로 소환,Summoning a near-future scenario into the present,,,Temporal Scale
실시간프로세스및상호작용,실시간 프로세스 및 상호작용,Real-time processes and interactions,,,Temporal Scale
현재의 순간에 과거의 기억을 촉발,현재의 순간에 과거의 기억을 촉발,Triggering past memories in the present moment,,,Temporal Scale
실시간 퍼포먼스,실시간 퍼포먼스,Real-time performance,,,Temporal Scale
진행형,진행형,Progressive,,,Temporal Scale
지속과 소멸: 에너지를얻는한계속작동하지만,지속과 소멸: 에너지를 얻는 한 계속 작동하지만,Persistence and extinction: It will continue to work as long as it gets energy.,,,Temporal Scale
언제든제거될수있는일시적생존의시간성,언제든 제거될 수 있는 일시적 생존의 시간성,The temporality of temporary survival that can be removed at any time,,,Temporal Scale
딥타임,딥타임,Deep Time,,,Temporal Scale
가속화된 시간,가속화된 시간,Accelerated time,,,Temporal Scale
현재 진행형,현재 진행형,present progressive tense,,,Temporal Scale
생명의 순환,생명의 순환,The cycle of life,,,Temporal Scale
지구물리학적 시간,지구물리학적 시간,Geophysical time,,,Temporal Scale
산업의 역사,산업의 역사,History of Industry,,,Temporal Scale
생태적 회복,생태적 회복,ecological restoration,,,Temporal Scale
성장및소멸,성장 및 소멸,Growth and decay,,,Temporal Scale
포스트휴머니즘,포스트휴머니즘,Posthumanism,,,Temporal Scale
신유물론,신유물론,New Materialism,,,Temporal Scale
생태 여성주의,생태 여성주의,ecofeminism,,,Temporal Scale
기술 결정론 비판,기술 결정론 비판,Criticism of technological determinism,,,Temporal Scale
데이터 존재론,데이터 존재론,Data Ontology,,,Temporal Scale
기술 유토피아니즘 비판,기술 유토피아니즘 비판,Critique of Technological Utopianism,,,Temporal Scale
인간 중심주의 비판,인간 중심주의 비판,Criticism of anthropocentrism,,,Temporal Scale
트랜스휴머니즘,트랜스휴머니즘,transhumanism,,,Temporal Scale
생명 중심주의,생명 중심주의,Biocentrism,,,Temporal Scale
분자단위,분자단위,molecular unit,,,Spatio Scale
세포단위,세포단위,Cell unit,,,Spatio Scale
지구적 네트워크,지구적 네트워크,global network,,,Spatio Scale
매크로,매크로,Macro,,,Spatio Scale
마이크로,마이크로,Micro,,,Spatio Scale
개체단위,개체단위,Individual unit,,,Spatio Scale
군집단위,군집단위,cluster unit,,,Spatio Scale
인간신체규모,인간 신체 규모,human body size,,,Spatio Scale
미시적-거시적,미시적-거시적,Micro-macro,,,Spatio Scale
건축적,건축적,Architectural,,,Spatio Scale
설치규모,설치규모,Installation scale,,,Spatio Scale
건축규모,건축규모,Building scale,,,Spatio Scale
유기체적,유기체적,organic,,,Spatio Scale
분자적,분자적,molecular,,,Spatio Scale
글로벌,글로벌,Global,,,Spatio Scale
개체 단위에서 설치 규모로,개체 단위에서 설치 규모로,From individual units to installation scale,,,Spatio Scale
개체 단위에서 설치 규모,개체 단위에서 설치 규모,Installation scale at the object level,,,Spatio Scale
분자,분자,molecule,,,Spatio Scale
인간신체,인간신체,human body,,,Spatio Scale
분자에서 인간 신체 규모,분자에서 인간 신체 규모,From molecules to human body scale,,,Spatio Scale
세포 단위에서 개체 단위,세포 단위에서 개체 단위,From cell unit to individual unit,,,Spatio Scale
산업규모,산업규모,Industrial scale,,,Spatio Scale
개체단위(가상),개체단위,Individual unit,가상,virtual,Spatio Scale
지역 생태계,지역 생태계,local ecosystem,,,Spatio Scale
분자 단위에서 네트워크까지,분자 단위에서 네트워크까지,From molecules to networks,,,Spatio Scale
분자(향),분자,molecule,향,scent,Spatio Scale
유기체(식물),유기체,organism,식물,plant,Spatio Scale
설치(갤러리 공간),설치,installation,갤러리 공간,gallery space,Spatio Scale
"오브제(유리병,문서)",오브제,object,"유리병, 문서","glass bottle, document",Spatio Scale
데이터,데이터,data,,,Spatio Scale
마이크로(세포),마이크로,Micro,세포,cell,Spatio Scale
매크로(미트볼),매크로,Macro,미트볼,meatball,Spatio Scale
인간(신체의기원),인간,human being,신체의기원,Origin of the body,Spatio Scale
마이크로(신경망),마이크로,Micro,신경망,neural network,Spatio Scale
오브제(페트리디쉬),오브제,object,페트리디쉬,petri dish,Spatio Scale
설치(방),설치,installation,방,room,Spatio Scale
대기적(공간을 채움),대기적,Ambient,공간을 채움,Filling the space,Spatio Scale
건축적 스케일,건축적 스케일,Architectural scale,,,Spatio Scale
특정 공간 맞춤형,특정 공간 맞춤형,Tailored to specific spaces,,,Spatio Scale
방크기설치,방크기설치,room-sized installation,,,Spatio Scale
대규모 설치,대규모 설치,large-scale installation,,,Spatio Scale
건축,건축,building,,,Spatio Scale
생태계,생태계,ecosystem,,,Spatio Scale
행성,행성,planet,,,Spatio Scale
신체,신체,body,,,Spatio Scale
개인,개인,individual,,,Spatio Scale
미시적-인간적,미시적-인간적,Micro-human,,,Spatio Scale
세포적,세포적,Cellular,,,Spatio Scale
미술관,미술관,art gallery,,,Spatio Scale
갤러리(화이트 큐브),갤러리,Gallery,화이트 큐브,White Cube,Spatio Scale
갤러리,갤러리,Gallery,,,Spatio Scale
온라인 플랫폼,온라인 플랫폼,online platform,,,Spatio Scale
공공담론,공공담론,public discourse,,,Spatio Scale
디자인 비엔날레,디자인 비엔날레,Design Biennale,,,Spatio Scale
학술 컨퍼런스,학술 컨퍼런스,Academic conference,,,Spatio Scale
실험실,실험실,laboratory,,,Spatio Scale
제도비판,제도비판,institutional criticism,,,Power and Capital Critique
지적 재산권,지적 재산권,intellectual property rights,,,Power and Capital Critique
거버넌스,거버넌스,Governance,,,Power and Capital Critique
바이오 캐피탈(비판적),바이오 캐피탈,Bio Capital,비판적,Critical,Power and Capital Critique
상품화(비판적),상품화,commercialization,비판적,Critical,Power and Capital Critique
상업화(비판적),상업화,commercialization,비판적,Critical,Power and Capital Critique
지식의 탈권위화,지식의 탈권위화,Deauthorization of knowledge,,,Power and Capital Critique
생명정치,생명정치,biopolitics,,,Power and Capital Critique
미디어 정치,미디어 정치,Media Politics,,,Power and Capital Critique
노동,노동,labor,,,Power and Capital Critique
상업화,상업화,commercialization,,,Power and Capital Critique
상품화,상품화,commercialization,,,Power and Capital Critique
자원정치,자원정치,Resource politics,,,Power and Capital Critique
유전자 특허 비판,유전자 특허 비판,Criticism of gene patents,,,Power and Capital Critique
푸드테크 산업 비판,푸드테크 산업 비판,Criticism of the food tech industry,,,Power and Capital Critique
예술시장비판,예술 시장 비판,Criticism of the art market,,,Power and Capital Critique
연구기금,연구기금,Research Fund,,,Power and Capital Critique
퀴어이론,퀴어이론,Queer theory,,,Power and Capital Critique
바이오 캐피탈,바이오 캐피탈,Bio Capital,,,Power and Capital Critique
계급,계급,class,,,Power and Capital Critique
사회적 불평등,사회적 불평등,social inequality,,,Power and Capital Critique
탈식민주의,탈식민주의,decolonialism,,,Power and Capital Critique
제도적 자원,제도적 자원,institutional resources,,,Power and Capital Critique
의료-산업 복합체,의료-산업 복합체,medical-industrial complex,,,Power and Capital Critique
유전학의 상업화 비판,유전학의 상업화 비판,Criticizing the Commercialization of Genetics,,,Power and Capital Critique
대안적 가치 체계,대안적 가치 체계,alternative value systems,,,Power and Capital Critique
상징정치,상징정치,symbolic politics,,,Power and Capital Critique
헬스케어 정치,헬스케어 정치,Healthcare Politics,,,Power and Capital Critique
정체성 정치,정체성 정치,identity politics,,,Power and Capital Critique
인종정치,인종정치,racial politics,,,Power and Capital Critique
종차별주의 비판,종차별주의 비판,Criticism of speciesism,,,Power and Capital Critique
친족관계정치,친족관계정치,nepotism,,,Power and Capital Critique
사랑,사랑,love,,,Power and Capital Critique
기억의상품화,기억의상품화,commodification of memory,,,Power and Capital Critique
맞춤형 바이오 제품의 가능성,맞춤형 바이오 제품의 가능성,The potential of personalized bioproducts,,,Power and Capital Critique
유전 데이터의 자본화,유전 데이터의 자본화,Capitalizing on genetic data,,,Power and Capital Critique
생식의 생명경제,생식의 생명경제,The bioeconomy of reproduction,,,Power and Capital Critique
식품산업비판,식품 산업 비판,Criticism of the food industry,,,Power and Capital Critique
인체로확장되는바이오자본주의,인체로 확장되는 바이오 자본주의,Biocapitalism extending to the human body,,,Power and Capital Critique
신경과학연구의펀딩구조와연구윤리,신경과학 연구의 펀딩 구조와 연구 윤리,Funding Structure and Research Ethics in Neuroscience Research,,,Power and Capital Critique
향기 브랜딩,향기 브랜딩,Fragrance Branding,,,Power and Capital Critique
감성과 경험의 마케팅,감성과 경험의 마케팅,Marketing of Emotions and Experiences,,,Power and Capital Critique
소비주의 비판,소비주의 비판,Criticism of Consumerism,,,Power and Capital Critique
권력관계폭로,권력 관계 폭로,Exposing power relations,,,Power and Capital Critique
데이터 자본주의 비판,데이터 자본주의 비판,Critique of data capitalism,,,Power and Capital Critique
기술의 유산,기술의 유산,Legacy of Technology,,,Power and Capital Critique
소비 자본주의 비판,소비 자본주의 비판,Criticism of consumer capitalism,,,Power and Capital Critique
환경정책,환경정책,environmental policy,,,Power and Capital Critique
생명윤리,생명윤리,bioethics,,,Power and Capital Critique
기증경제,기증경제,donation economy,,,Power and Capital Critique
환경복원,환경복원,environmental restoration,,,Power and Capital Critique
산업유산,산업유산,Industrial Heritage,,,Power and Capital Critique
순환경제,순환경제,circular economy,,,Power and Capital Critique
상품화 비판,상품화 비판,Criticism of commercialization,,,Power and Capital Critique
순환경제제안,순환경제제안,Circular Economy Proposal,,,Power and Capital Critique
지속가능성,지속가능성,Sustainability,,,Power and Capital Critique
지역성,지역성,regionality,,,Power and Capital Critique
공중 보건 시스템 비판,공중 보건 시스템 비판,Criticism of the public health system,,,Power and Capital Critique
가부장제 비판,가부장제 비판,Criticism of patriarchy,,,Power and Capital Critique
유전자 변형 생물의창조,유전자 변형 생물의창조,Creation of genetically modified organisms,,,Power and Capital Critique
생명체 도구화,생명체 도구화,Instrumentalization of life,,,Power and Capital Critique
동의없는유전정보사용,동의 없는 유전 정보 사용,Use of genetic information without consent,,,Power and Capital Critique
인종적 프로파일링,인종적 프로파일링,racial profiling,,,Power and Capital Critique
인공 생태계의 의도치 않은 결과,인공 생태계의 의도치 않은 결과,Unintended Consequences of Artificial Ecosystems,,,Power and Capital Critique
신의영역침범,신의 영역 침범,Invasion of the divine realm,,,Power and Capital Critique
인간-동물 키메라,인간-동물 키메라,human-animal chimeras,,,Power and Capital Critique
신체 부위의 소유권,신체 부위의 소유권,Ownership of body parts,,,Power and Capital Critique
생명창조,생명창조,Creation of life,,,Power and Capital Critique
현미경 이미지,현미경 이미지,Microscope image,,,Documentation & Representation
다이어그램,다이어그램,Diagram,,,Documentation & Representation
연구노트,연구노트,Research Notes,,,Documentation & Representation
출판물,출판물,publication,,,Documentation & Representation
데이터 시각화,데이터 시각화,Data visualization,,,Documentation & Representation
강연 퍼포먼스,강연 퍼포먼스,Lecture Performance,,,Documentation & Representation
내러티브,내러티브,narrative,,,Documentation & Representation
실시간 영상,실시간 영상,Live video,,,Documentation & Representation
사진기록,사진기록,Photographic records,,,Documentation & Representation
물질적 잔여물,물질적 잔여물,material residue,,,Documentation & Representation
실시간 영상(내시경),실시간 영상,Live video,내시경,endoscopy,Documentation & Representation
타임랩스 비디오,타임랩스 비디오,Time-lapse video,,,Documentation & Representation
살아있는 시스템,살아있는 시스템,living system,,,Documentation & Representation
사진,사진,picture,,,Documentation & Representation
영상기록,영상기록,Video record,,,Documentation & Representation
물질적 잔여물(번역된 텍스트),물질적 잔여물,material residue,번역된 텍스트,Translated text,Documentation & Representation
내러티브(캠페인),내러티브,narrative,캠페인,campaign,Documentation & Representation
구술,구술,dictation,,,Documentation & Representation
물질적 잔여물(보존된 조각),물질적 잔여물,material residue,보존된 조각,preserved fragments,Documentation & Representation
퍼포먼스 기록,퍼포먼스 기록,Performance Record,,,Documentation & Representation
실시간 영상(퍼포먼스),실시간 영상,Live video,퍼포먼스,performance,Documentation & Representation
물질적 잔여물(동결건조 혈액),물질적 잔여물,material residue,동결건조 혈액,freeze-dried blood,Documentation & Representation
물질적 잔여물(진공포장 배설물),물질적 잔여물,material residue,진공포장 배설물,Vacuum-packed excrement,Documentation & Representation
프로토타입 모델,프로토타입 모델,prototype model,,,Documentation & Representation
실시간 영상(레이저쇼),실시간 영상,Live video,레이저쇼,laser show,Documentation & Representation
살아있는 조각,살아있는 조각,living sculpture,,,Documentation & Representation
살아있는 작품,살아있는 작품,living works,,,Documentation & Representation
설치 잔여물,설치 잔여물,Installation residue,,,Documentation & Representation
물질적 잔여물(변형된 유물),물질적 잔여물,material residue,변형된 유물,Transformed relics,Documentation & Representation
물질적 잔여물(드레스),물질적 잔여물,material residue,드레스,dress,Documentation & Representation
실시간 영상(타임랩스),실시간 영상,Live video,타임랩스,Timelapse,Documentation & Representation
비디오 기록,비디오 기록,Video recording,,,Documentation & Representation
출판물(블로그),출판물,publication,블로그,Blog,Documentation & Representation
물질적 잔여물(세포),물질적 잔여물,material residue,세포,cell,Documentation & Representation
시제품(직물),시제품,prototype,직물,textile,Documentation & Representation
아카이빙,아카이빙,Archiving,,,Documentation & Representation
